,Munising Falls Visitor Center,Cliffs Campsite,Cliffs Group Campsite,Miners Castle Visitors Center,Potato Patch Campsite,Mosquito River Group Campsite,Mosquito River Campsite,Chapel Beach Campsite,Coves Group Campsite,Coves Campsite,Little Beaver Lake Campground,Beaver Creek Campsite,Lowney Creek Group Campsite,Lowney Creek Campsite,Pine Bluff Campsite,Trappers Campsite,Trappers Group Campsite,Sevenmile Creek Campsite,Sevenmile Creek Group Campsite,Twelvemile Beach Campground,Benchmark Campsite,Hurricane River Lower Campground,Hurricane River Upper Campground,Au Sable Point Lighthouse,Au Sable East Group Campsite,Au Sable East Campsite,Masse Homestead Group Campsite,Masse Homestead Campsite,Grand Sable Visitor Center,Woodland Park Campground,
Munising Falls Visitor Center,0,1.9008151825925887,2.3985466631536054,2.636372180858993,3.396141547649067,4.535466044417329,4.628721588740306,6.302888084839006,7.315921476546182,7.848889918103542,8.445465207111264,8.386095695263407,8.915599504712452,8.995507922446276,8.8706498308789,9.18070103557076,9.227708373472769,10.589703508554088,10.646157490864379,11.60677021712738,11.96055577421708,12.870004609670334,12.971035654675983,13.433312390007309,13.51677390307345,13.57250543003247,14.65950590484859,14.732769164954215,16.600268654127774,17.48646795344092,
Cliffs Campsite,4.797578090573563,0,0.4977724872707142,0.7356492357871208,1.4954571058811745,2.6349669748186217,2.7282163259516015,4.402328592161269,5.415302613243626,5.948310003620322,6.5448807790253065,6.485497082856857,7.015014505613918,7.094923629694245,6.9700473588049965,7.28010463021086,7.327110062704592,8.689102377746167,8.745558531079956,9.706160652334995,10.059944605466391,10.969399095168836,11.070408765759945,11.532702090678129,11.616164339881157,11.67189913019167,12.758825479480231,12.83208996313924,14.699618032171381,15.585842820958288,
Cliffs Group Campsite,6.041169426068377,1.2435913354948132,0,0.2378907968976474,0.9976885247821128,2.137222081783098,2.230468887479404,3.904563487942781,4.917531459030397,5.450540969193618,6.047111033362077,5.987726499670965,6.517244482252744,6.597153612959499,6.472276374893759,6.782333848841347,6.829339167181244,8.191331004155742,8.247787238259562,9.208388812288492,9.562172677468753,10.471627251963492,10.5726364152943,11.034930063607753,11.118392326669388,11.174127204243879,12.26105376999043,12.334318206970352,14.201845615596262,15.088070388835519,
Miners Castle Visitors Center,6.6299530064590675,1.832374915885504,0.588783580390691,0,0.7598086109031692,1.89933161352869,1.992578711936655,3.666679696351618,4.679655142446403,5.212660962404651,5.809232004242185,5.7498488900905596,6.279365873180109,6.359274991138592,6.234399567122115,6.544456599066348,6.591462153147764,7.953455064726953,8.009911090187597,8.970514251800722,9.324298432176512,10.233752666021173,10.334764391516977,10.797056179517622,10.880518381481439,10.936252906779517,12.023190120944136,12.096454356822447,13.963977559873475,14.850199081980026,
Potato Patch Campsite,8.525172981543843,3.727594890970279,2.484003555475466,1.895219975084775,0,1.1395775640997838,1.2328156804374573,2.906875539740497,3.9198465925251877,4.452853007548803,5.049423674905368,4.990040297013708,5.519557437653121,5.5994665596115585,5.474590961006052,5.7846479910074855,5.83165354230683,7.19364652110452,7.250102521895334,8.210705976306404,8.564490241727652,9.47394436636267,9.574957071793866,10.037248079804407,10.120710260740866,10.176444678103536,11.263389152003274,11.336653182519283,13.204172615806284,14.090392029008886,
Mosquito River Group Campsite,11.33671022713311,6.539132136559548,5.295540801064735,4.706757220674044,2.8115372455892693,0,0.09325566899588732,1.7674222304190166,2.7804682197665787,3.313423995515126,3.9099992418700897,3.8506312161634826,4.380133467123308,4.460041878031954,4.335185317532863,4.645235470496193,4.692242960101485,6.054237692046716,6.110691552500715,7.071304706188895,7.425090289465162,8.334538613496273,8.435571940694492,8.897846516251548,8.98130798466297,9.037039407957339,10.124063559480065,10.197325828944624,12.064808961693805,12.951002582773635,
Mosquito River Campsite,11.570081471279448,6.772503380705883,5.5289120452110705,4.940128464820379,3.044908489735604,0.23337124414633487,0,1.6741666215195898,2.687212783861933,3.2201684069668017,3.8167436634572365,3.757375555801512,4.286877916099628,4.366786338743734,4.241929659323143,4.551979849564878,4.5989873306366125,5.960982094962776,6.017435971887895,6.978049087319348,7.331834669679943,8.241283046469993,8.342316279013888,8.804590928682353,8.888052403132125,8.943783849276508,10.030808126449271,10.104070378051585,11.97155329729133,12.857746962446182,
Chapel Beach Campsite,15.75621172240923,10.958633631835665,9.715042296340853,9.126258715950161,7.231038740865387,4.419501495276117,4.186130251129782,0,1.0130722171329072,1.5460018333812273,2.1425771307795407,2.083209738993685,2.6127115618135797,2.6926200826378843,2.5677636764467158,2.877813254275371,2.924820782584196,4.28681548185117,4.3432694068828255,5.3038824823713115,5.657668067224058,6.56711653280958,6.668150274444649,7.130424334235525,7.213885827144974,7.269617375976278,8.356653273637399,8.42991491736507,10.297388808132025,11.18358036007479,
Coves Group Campsite,18.305626636629576,13.508048546056012,12.264457210561199,11.675673630170508,9.780453655085733,6.9689164094964635,6.735545165350128,2.549414914220346,0,0.5330641038452748,1.1295934257861628,1.0701978256084548,1.5997200226848494,1.6796289492759522,1.5547450672783683,1.8648031082690903,1.9118080270601499,3.273799928676412,3.3302559607511477,4.290860494940959,4.644645222675754,5.554098619607209,5.655117716884722,6.117403370523675,6.200865419594694,6.25659924109366,7.343595342958966,7.416857613104519,9.284347187507363,10.17055274711714,
Coves Campsite,19.620931469296536,14.823353378722972,13.57976204322816,12.990978462837468,11.095758487752693,8.284221242163424,8.050849998017089,3.864719746887307,1.315304832666961,0,0.5965753196167438,0.5372161276456998,1.066709999715177,1.146618696339179,1.021766014042397,1.331811959112394,1.3788197905715098,2.7408137108495367,2.79726757537754,3.7578809289925834,4.11166651815418,5.021114702681819,5.122150154569431,5.584422521755192,5.667884001124031,5.7236155570503024,6.810670202730635,6.8839308939413035,8.751390853635154,9.637578757655913,
